country,alcohol_type,servings
Haiti,spirit_servings,326
Haiti,spirit_servings,326
Haiti,spirit_servings,326
Haiti,spirit_servings,326
Haiti,spirit_servings,326
Haiti,spirit_servings,326
Haiti,spirit_servings,326
Haiti,spirit_servings,326
Haiti,spirit_servings,326
Haiti,spirit_servings,326
Haiti,spirit_servings,326
Haiti,spirit_servings,326
Haiti,spirit_servings,326
Haiti,spirit_servings,326
Haiti,spirit_servings,326
Haiti,spirit_servings,326
Haiti,spirit_servings,326
Honduras,spirit_servings,98
Honduras,spirit_servings,98
Honduras,spirit_servings,98
Honduras,spirit_servings,98
Honduras,spirit_servings,98
Honduras,spirit_servings,98
Honduras,spirit_servings,98
Honduras,spirit_servings,98
Honduras,spirit_servings,98
Honduras,spirit_servings,98
Honduras,spirit_servings,98
Honduras,spirit_servings,98
Honduras,spirit_servings,98
Honduras,spirit_servings,98
Honduras,spirit_servings,98
Honduras,spirit_servings,98
Honduras,spirit_servings,98
Honduras,spirit_servings,98
Honduras,spirit_servings,98
Honduras,spirit_servings,98
Honduras,spirit_servings,98
Hungary,spirit_servings,215
Hungary,spirit_servings,215
Hungary,spirit_servings,215
Hungary,spirit_servings,215
Hungary,spirit_servings,215
Hungary,spirit_servings,215
Hungary,spirit_servings,215
Hungary,spirit_servings,215
Hungary,spirit_servings,215
Hungary,spirit_servings,215
Hungary,spirit_servings,215
Hungary,spirit_servings,215
Hungary,spirit_servings,215
Hungary,spirit_servings,215
Hungary,spirit_servings,215
Hungary,spirit_servings,215
Hungary,spirit_servings,215
Hungary,spirit_servings,215
Hungary,spirit_servings,215
Hungary,spirit_servings,215
Hungary,spirit_servings,215
Iceland,spirit_servings,61
Iceland,spirit_servings,61
Iceland,spirit_servings,61
Iceland,spirit_servings,61
Iceland,spirit_servings,61
Iceland,spirit_servings,61
Iceland,spirit_servings,61
Iceland,spirit_servings,61
Iceland,spirit_servings,61
Iceland,spirit_servings,61
Iceland,spirit_servings,61
Iceland,spirit_servings,61
Iceland,spirit_servings,61
Iceland,spirit_servings,61
Iceland,spirit_servings,61
Iceland,spirit_servings,61
Iceland,spirit_servings,61
Iceland,spirit_servings,61
Iceland,spirit_servings,61
Iceland,spirit_servings,61
Iceland,spirit_servings,61
India,spirit_servings,114
India,spirit_servings,114
India,spirit_servings,114
India,spirit_servings,114
India,spirit_servings,114
India,spirit_servings,114
India,spirit_servings,114
India,spirit_servings,114
India,spirit_servings,114
India,spirit_servings,114
India,spirit_servings,114
India,spirit_servings,114
India,spirit_servings,114
India,spirit_servings,114
India,spirit_servings,114
India,spirit_servings,114
India,spirit_servings,114
India,spirit_servings,114
India,spirit_servings,114
India,spirit_servings,114
India,spirit_servings,114
Indonesia,spirit_servings,1
Indonesia,spirit_servings,1
Indonesia,spirit_servings,1
Indonesia,spirit_servings,1
Indonesia,spirit_servings,1
Indonesia,spirit_servings,1
Indonesia,spirit_servings,1
Indonesia,spirit_servings,1
Indonesia,spirit_servings,1
Indonesia,spirit_servings,1
Indonesia,spirit_servings,1
Indonesia,spirit_servings,1
Indonesia,spirit_servings,1
Indonesia,spirit_servings,1
Indonesia,spirit_servings,1
Indonesia,spirit_servings,1
Indonesia,spirit_servings,1
Indonesia,spirit_servings,1
Indonesia,spirit_servings,1
Indonesia,spirit_servings,1
Indonesia,spirit_servings,1
Iran,spirit_servings,0
Iraq,spirit_servings,3
Iraq,spirit_servings,3
Iraq,spirit_servings,3
Iraq,spirit_servings,3
Iraq,spirit_servings,3
Iraq,spirit_servings,3
Iraq,spirit_servings,3
Iraq,spirit_servings,3
Iraq,spirit_servings,3
Iraq,spirit_servings,3
Iraq,spirit_servings,3
Iraq,spirit_servings,3
Iraq,spirit_servings,3
Iraq,spirit_servings,3
Iraq,spirit_servings,3
Iraq,spirit_servings,3
Iraq,spirit_servings,3
Iraq,spirit_servings,3
Iraq,spirit_servings,3
Iraq,spirit_servings,3
Iraq,spirit_servings,3
Ireland,spirit_servings,118
Ireland,spirit_servings,118
Ireland,spirit_servings,118
Ireland,spirit_servings,118
Ireland,spirit_servings,118
Ireland,spirit_servings,118
Ireland,spirit_servings,118
Ireland,spirit_servings,118
Ireland,spirit_servings,118
Ireland,spirit_servings,118
Ireland,spirit_servings,118
Ireland,spirit_servings,118
Ireland,spirit_servings,118
Ireland,spirit_servings,118
Ireland,spirit_servings,118
Ireland,spirit_servings,118
Ireland,spirit_servings,118
Ireland,spirit_servings,118
Ireland,spirit_servings,118
Ireland,spirit_servings,118
Ireland,spirit_servings,118
Israel,spirit_servings,69
Israel,spirit_servings,69
Israel,spirit_servings,69
Israel,spirit_servings,69
Israel,spirit_servings,69
Israel,spirit_servings,69
Israel,spirit_servings,69
Israel,spirit_servings,69
Israel,spirit_servings,69
Israel,spirit_servings,69
Israel,spirit_servings,69
Israel,spirit_servings,69
Israel,spirit_servings,69
Israel,spirit_servings,69
Israel,spirit_servings,69
Israel,spirit_servings,69
Israel,spirit_servings,69
Israel,spirit_servings,69
Israel,spirit_servings,69
Israel,spirit_servings,69
Israel,spirit_servings,69
Italy,spirit_servings,42
Italy,spirit_servings,42
Italy,spirit_servings,42
Italy,spirit_servings,42
Italy,spirit_servings,42
Italy,spirit_servings,42
Italy,spirit_servings,42
Italy,spirit_servings,42
Italy,spirit_servings,42
Italy,spirit_servings,42
Italy,spirit_servings,42
Italy,spirit_servings,42
Italy,spirit_servings,42
Italy,spirit_servings,42
Italy,spirit_servings,42
Italy,spirit_servings,42
Italy,spirit_servings,42
Italy,spirit_servings,42
Italy,spirit_servings,42
Italy,spirit_servings,42
Italy,spirit_servings,42
Jamaica,spirit_servings,97
Jamaica,spirit_servings,97
Jamaica,spirit_servings,97
Jamaica,spirit_servings,97
Jamaica,spirit_servings,97
Jamaica,spirit_servings,97
Jamaica,spirit_servings,97
Jamaica,spirit_servings,97
Jamaica,spirit_servings,97
Jamaica,spirit_servings,97
Jamaica,spirit_servings,97
Jamaica,spirit_servings,97
Jamaica,spirit_servings,97
Jamaica,spirit_servings,97
Jamaica,spirit_servings,97
Jamaica,spirit_servings,97
Jamaica,spirit_servings,97
Jamaica,spirit_servings,97
Jamaica,spirit_servings,97
Jamaica,spirit_servings,97
Jamaica,spirit_servings,97
Japan,spirit_servings,202
Japan,spirit_servings,202
Japan,spirit_servings,202
Japan,spirit_servings,202
Japan,spirit_servings,202
Japan,spirit_servings,202
Japan,spirit_servings,202
Japan,spirit_servings,202
Japan,spirit_servings,202
Japan,spirit_servings,202
Japan,spirit_servings,202
Japan,spirit_servings,202
Japan,spirit_servings,202
Japan,spirit_servings,202
Japan,spirit_servings,202
Japan,spirit_servings,202
Japan,spirit_servings,202
Japan,spirit_servings,202
Japan,spirit_servings,202
Japan,spirit_servings,202
Japan,spirit_servings,202
Jordan,spirit_servings,21
Jordan,spirit_servings,21
Jordan,spirit_servings,21
Jordan,spirit_servings,21
Jordan,spirit_servings,21
Jordan,spirit_servings,21
Jordan,spirit_servings,21
Jordan,spirit_servings,21
Jordan,spirit_servings,21
Jordan,spirit_servings,21
Jordan,spirit_servings,21
Jordan,spirit_servings,21
Jordan,spirit_servings,21
Jordan,spirit_servings,21
Jordan,spirit_servings,21
Jordan,spirit_servings,21
Jordan,spirit_servings,21
Jordan,spirit_servings,21
Jordan,spirit_servings,21
Jordan,spirit_servings,21
Jordan,spirit_servings,21
Kazakhstan,spirit_servings,246
Kazakhstan,spirit_servings,246
Kazakhstan,spirit_servings,246
Kazakhstan,spirit_servings,246
Kazakhstan,spirit_servings,246
Kazakhstan,spirit_servings,246
Kazakhstan,spirit_servings,246
Kazakhstan,spirit_servings,246
Kazakhstan,spirit_servings,246
Kazakhstan,spirit_servings,246
Kazakhstan,spirit_servings,246
Kazakhstan,spirit_servings,246
Kazakhstan,spirit_servings,246
Kazakhstan,spirit_servings,246
Kazakhstan,spirit_servings,246
Kazakhstan,spirit_servings,246
Kazakhstan,spirit_servings,246
Kazakhstan,spirit_servings,246
Kazakhstan,spirit_servings,246
Kazakhstan,spirit_servings,246
Kazakhstan,spirit_servings,246
Kenya,spirit_servings,22
Kenya,spirit_servings,22
Kenya,spirit_servings,22
Kenya,spirit_servings,22
Kenya,spirit_servings,22
Kenya,spirit_servings,22
Kenya,spirit_servings,22
Kenya,spirit_servings,22
Kenya,spirit_servings,22
Kenya,spirit_servings,22
Kenya,spirit_servings,22
Kenya,spirit_servings,22
Kenya,spirit_servings,22
Kenya,spirit_servings,22
Kenya,spirit_servings,22
Kenya,spirit_servings,22
Kenya,spirit_servings,22
Kenya,spirit_servings,22
Kenya,spirit_servings,22
Kenya,spirit_servings,22
Kenya,spirit_servings,22
Kiribati,spirit_servings,34
Kiribati,spirit_servings,34
Kiribati,spirit_servings,34
Kiribati,spirit_servings,34
Kiribati,spirit_servings,34
Kiribati,spirit_servings,34
Kiribati,spirit_servings,34
Kiribati,spirit_servings,34
Kiribati,spirit_servings,34
